[14326.7, 14318.1, 14315.2, 14323.8; 16191.9, 16194.8, 16185.9, 16183.1]
[14277.3, 14286.1, 14265.6, 14256.8; 16196.2, 16209.8, 16223, 16209.4]
[14418, 14402, 14384.8, 14400.8; 16227.9, 16242.2, 16222.9, 16208.6]
[14383, 14382.9, 14382.7, 14382.9; 16099, 16099.2, 16099.1, 16098.9]
[14411, 14410.8, 14410.7, 14410.8; 16127.7, 16127.8, 16127.7, 16127.5]
[14349.1, 14349.3, 14349.5, 14349.3; 16292.9, 16292.7, 16292.8, 16293]
[14285, 14285.3, 14285.3, 14285.1; 16290.6, 16290.5, 16290.8, 16290.8]
[14261, 14261.3, 14261.3, 14261; 16279.1, 16279.1, 16279.3, 16279.3]
[14361.8, 14361.9, 14362.1, 14361.9; 16289, 16288.8, 16288.9, 16289.1]
[14328.7, 14328.9, 14329, 14328.9; 16296.5, 16296.4, 16296.5, 16296.7]
[14309, 14309.3, 14309.4, 14309.2; 16296.8, 16296.6, 16296.8, 16296.9]
[14375.8, 14375.9, 14376.1, 14376; 16283.1, 16282.9, 16283, 16283.2]
[14242.7, 14242.9, 14242.9, 14242.7; 16265.6, 16265.7, 16265.9, 16265.9]
[14228.3, 14228.6, 14228.5, 14228.3; 16251.2, 16251.3, 16251.5, 16251.4]
[14213.5, 14213.7, 14213.6, 14213.4; 16229.3, 16229.5, 16229.6, 16229.5]
[14355.4, 14355.8, 14355.8, 14355.4; 16296.9, 16296.9, 16297.2, 16297.2]
[14337.9, 14338.2, 14338.2, 14337.9; 16301, 16301, 16301.3, 16301.3]
[14262.3, 14262.7, 14262.7, 14262.3; 16286.7, 16286.7, 16287, 16287]
[14400, 14400.1, 14400.3, 14400.2; 16271.7, 16271.5, 16271.6, 16271.8]
[14281.4, 14281.8, 14281.8, 14281.4; 16295.6, 16295.6, 16295.9, 16295.9]
[14208.3, 14208.5, 14208.4, 14208.2; 16216.9, 16217.1, 16217.2, 16217.1]
[14248.9, 14249.2, 14249.2, 14248.9; 16278.1, 16278.1, 16278.5, 16278.5]
[14373.9, 14374.3, 14374.3, 14373.9; 16290.2, 16290.2, 16290.5, 16290.5]
[14298.8, 14299.1, 14299.1, 14298.8; 16300.9, 16300.9, 16301.2, 16301.2]
[14314.9, 14315.3, 14315.3, 14314.9; 16302.9, 16302.9, 16303.2, 16303.2]
[14234.1, 14234.5, 14234.5, 14234.1; 16265.8, 16265.8, 16266.2, 16266.2]
[14203.9, 14204.1, 14204, 14203.8; 16202.1, 16202.3, 16202.5, 16202.3]
[14223.6, 14223.9, 14223.9, 14223.6; 16254.7, 16254.7, 16255.1, 16255.1]
[14390.6, 14390.9, 14390.9, 14390.6; 16282.7, 16282.7, 16283.1, 16283.1]
[14354.9, 14354.7, 14354.6, 14354.7; 16070.2, 16070.4, 16070.2, 16070]
[14211, 14211.4, 14211.4, 14211; 16237.3, 16237.3, 16237.6, 16237.6]
